ID,First Name,Last Name,Jersey,Position,Games Played,Points,Total Goals,1pt Goals,2pt Goals,Scoring Points,Assists,Shots,Shot Pct,Shots On Goal,SOG Pct,2pt Shots,2pt Shot Pct,2pt Shots On Goal,Groundballs,Turnovers,Caused Turnovers,Faceoffs,Faceoff Wins,Faceoff Losses,Faceoff Pct,Saves,Save Pct,Scores Against,Scores Against Average,2pt Goals Against,2pt GAA,Time On Field,Total Penalties,Penalty Minutes,Power Play Goals,Power Play Shots,Short Handed Goals,Short Handed Shots,Short Handed Goals Against,Power Play Goals Against
81,John,Haus,26,M,2,3,0,0,0,0,3,4,0,2,0.5,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
82,Brad,Smith,27,M,3,9,5,5,0,5,4,16,0.3125,7,0.4375,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
83,Michael,Ehrhardt,28,LSM,3,1,1,1,0,1,0,5,0.2,3,0.6,3,0,2,10,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
84,Jay,Carlson,32,A,3,7,7,7,0,7,0,15,0.4666666666666667,11,0.7333333333333333,0,0,0,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,,0
85,Matthew,Dunn,33,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
86,Connor,Kirst,34,M,3,1,1,1,0,1,0,5,0.2,4,0.8,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
87,Kyle,Bernlohr,35,G,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.181818181818182,9,18,0,0,1440,0,0,0,0,0,0,,0
88,Zed,Williams,36,A,3,16,10,9,1,11,5,31,0.3225806451612903,22,0.7096774193548387,2,0.5,1,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,,0
89,Colin,Squires,39,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
90,Simon,Mathias,45,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
91,Chris,Aslanian,57,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
92,Jake,Bernhardt,83,SSDM,3,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
93,Jack,Rapine,9,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
94,Jacob,Stover,0,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
95,Nick,Marrocco,1,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,13,0.5,13,12.999999999999998,0,0,2880,0,0,0,0,0,0,,1
96,Brendan,Fowler,3,FO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,3,10,0.23076923076923078,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
97,Nate,Solomon,3,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
98,Lyle,Thompson,4,A,1,3,1,1,0,1,2,6,0.16666666666666666,3,0.5,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
99,Stephen,Rehfuss,6,M,1,1,0,0,0,0,1,2,0,1,0.5,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
100,Reece,Eddy,9,LSM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,,0
101,Jake,Pulver,12,D,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
